database,workload,workload_label,threads,record_count,dataset_label,series,throughput_ops_sec_mean,throughput_ops_sec_std,read_avg_latency_us_mean,read_p95_latency_us_mean,read_p99_latency_us_mean,update_avg_latency_us_mean,update_p95_latency_us_mean,update_p99_latency_us_mean,avg_cpu_percent_mean,max_cpu_percent_mean,avg_mem_usage_mb_mean,max_mem_usage_mb_mean,total_blk_read_mb_mean,total_blk_write_mb_mean,avg_cpu_percent_std,avg_mem_usage_mb_std,insert_avg_latency_us_mean,insert_avg_latency_us_std,insert_ok_mean,insert_ok_std,insert_ops_mean,insert_ops_std,insert_p95_latency_us_mean,insert_p95_latency_us_std,insert_p99_latency_us_mean,insert_p99_latency_us_std,load_duration_sec_mean,load_duration_sec_std,max_cpu_percent_std,max_mem_usage_mb_std,min_cpu_percent_mean,min_cpu_percent_std,min_mem_usage_mb_mean,min_mem_usage_mb_std,operation_count_mean,operation_count_std,read_avg_latency_us_std,read_max_latency_us_mean,read_max_latency_us_std,read_min_latency_us_mean,read_min_latency_us_std,read_ok_mean,read_ok_std,read_ops_mean,read_ops_std,read_p95_latency_us_std,read_p99_latency_us_std,record_count_mean,record_count_std,rmw_avg_latency_us_mean,rmw_avg_latency_us_std,rmw_ops_mean,rmw_ops_std,rmw_p95_latency_us_mean,rmw_p95_latency_us_std,rmw_p99_latency_us_mean,rmw_p99_latency_us_std,run_duration_sec_mean,run_duration_sec_std,runtime_ms_mean,runtime_ms_std,threads_mean,threads_std,total_blk_read_mb_std,total_blk_write_mb_std,total_net_rx_mb_mean,total_net_rx_mb_std,total_net_tx_mb_mean,total_net_tx_mb_std,update_avg_latency_us_std,update_max_latency_us_mean,update_max_latency_us_std,update_min_latency_us_mean,update_min_latency_us_std,update_ok_mean,update_ok_std,update_ops_mean,update_ops_std,update_p95_latency_us_std,update_p99_latency_us_std,num_repetitions
mongodb,workload_a,Workload A (Update Heavy),10,1000000,1 GB,workload,45531.94295687013,2816.5509719161873,197.61190170798815,384.6666666666667,667.3333333333334,208.18727852530296,395.6666666666667,664.6666666666666,0.4529840558983526,0.5716947701196088,277.2545572916667,277.2630208333333,0.0,0.0,0.10175042639835168,0.12281931669748232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.865255037943522,0.16834056495562738,0.2047388516956628,0.12629537138523064,0.3342733416770964,0.0034493734293144698,277.24609375,0.1203353265683544,100000.0,0.0,13.518519989166165,37044.333333333336,17652.46966668781,32.0,5.5677643628300215,49987.0,157.69590990257166,49987.0,157.69590990257166,23.158871590242327,85.28970238741212,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.290756861368815,0.1421877188883358,2202.0,139.2372076709383,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.842518526016066,31391.0,8866.021430156821,32.666666666666664,3.214550253664318,50013.0,157.69590990257166,50013.0,157.69590990257166,34.31229128655406,80.07704623257112,3
mongodb,workload_b,Workload B (Read Heavy),10,1000000,1 GB,workload,45642.976581665316,3346.569736517815,200.62304994848805,422.6666666666667,770.0,237.90334371104692,482.0,838.0,0.48788041541569477,0.6096214310823274,277.1868489583333,277.2643229166667,0.0,0.0,0.20045393266499026,0.18784893205122688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.573311964670816,0.8818939748482943,0.34560013495433667,0.1348835157664599,0.36613939974906207,0.056273718525363475,277.109375,0.24806994233292856,100000.0,0.0,13.545052268955336,57193.666666666664,55152.615797741935,31.666666666666668,1.5275252316519468,95039.33333333333,49.21720566360237,95039.33333333333,49.21720566360237,28.307831660749528,125.58264211267415,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2842253049214682,0.1717934911490298,2199.0,165.44787698849447,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.43619076452373,18431.666666666668,13516.004192561251,42.666666666666664,1.5275252316519465,4960.666666666667,49.21720566360237,4960.666666666667,49.21720566360237,35.34119409414458,215.71045408139125,3
mongodb,workload_f,Workload F (Read-Modify-Write),10,1000000,1 GB,workload,26899.99184510036,911.0252965045303,236.13937666666666,465.3333333333333,1058.0,232.42436333214175,474.3333333333333,1038.6666666666667,0.49529821787496325,0.5951458484864933,277.3444010416667,277.3528645833333,0.0,0.0078125,0.1297847950355639,0.24222949904653093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.486220757166546,1.1453564253935136,0.20868403368984345,0.23639537180303644,0.39545058726343313,0.06839860902755375,277.3359375,0.24806994233292856,100000.0,0.0,10.002383440092343,59337.666666666664,24518.690122707074,35.666666666666664,1.5275252316519465,100000.0,0.0,100000.0,0.0,20.404247923737188,58.27520913733386,1000000.0,0.0,472.034784937935,10.203874834706824,50075.666666666664,125.90604962960808,927.0,40.779897008207364,2098.3333333333335,162.7554402572563,3.806255022684733,0.12902677138827806,3720.3333333333335,126.69780319063678,10.0,0.0,0.0,0.013531646934131853,0.0,0.0,0.0,0.0,2.062385361456909,42212.333333333336,16558.371578550028,38.0,1.7320508075688772,50075.666666666664,125.90604962960808,50075.666666666664,125.90604962960808,5.507570547286102,88.37043246093873,3
cassandra,workload_a,Workload A (Update Heavy),10,1000000,1 GB,workload,7514.512034231521,94.8353672622931,1153.904251663299,2004.6666666666667,2996.3333333333335,1012.0974400384994,1755.0,2269.0,85.54996000476244,147.17577753654652,2044.3140190972224,2047.9583333333333,905.4934895833334,120.41015625,31.22381702200154,4.53729823449817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.44098901748657,3.4002491291666432,94.24320101082405,0.036920434580098506,1.4241222555327449,0.15173914008247968,2032.9700520833333,16.922567656886116,100000.0,0.0,33.402014065730754,46404.333333333336,14949.791882609381,254.0,13.076696830622021,49226.0,1406.9598430658923,49226.0,1406.9598430658923,72.47298347200378,429.07497402357706,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.41336997350057,0.1676811805969028,13309.0,168.30626845129686,10.0,0.0,171.44446282102714,71.06088826709524,13.757009824117025,0.6819566616649879,49.80801296234131,1.5519463439706556,2.4516310153738927,25281.666666666668,13646.321897615246,217.0,11.269427669584644,49986.333333333336,112.83764147363829,49986.333333333336,112.83764147363829,15.588457268119896,27.712812921102035,3
cassandra,workload_b,Workload B (Read Heavy),10,1000000,1 GB,workload,7780.744838862665,182.12290928987002,1040.466730640608,1840.6666666666667,2456.3333333333335,1054.403149731126,1842.3333333333333,2321.6666666666665,60.706953627665456,87.45676777736594,2047.78958953373,2047.9088541666667,902.8229166666666,53.64453125,5.980658951681324,0.08500298000806368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.41344817479452,125.88697051301418,10.972408534955392,0.06266254903914566,1.0900284453244746,0.1458453416790686,2047.6549479166667,0.12161765030037101,100000.0,0.0,34.99011573948547,37145.666666666664,7748.400953315034,235.33333333333334,16.165807537309522,90037.33333333333,8630.367682395306,90037.33333333333,8630.367682395306,45.785732857881975,58.18361739642297,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.965132474899292,0.30502005985159175,12857.0,305.039341724965,10.0,0.0,418.3588289331267,15.273636807363275,10.296579678853353,0.4640404119025179,90.43125597635905,9.168150573549589,39.48020125350296,13831.0,2348.7460484266917,307.0,28.583211855912904,4988.0,132.14007719083563,4988.0,132.14007719083563,103.00647228855735,48.880807412862296,3
cassandra,workload_f,Workload F (Read-Modify-Write),10,1000000,1 GB,workload,5213.035907512184,26.058266735087305,1136.4488335528283,2029.3333333333333,2834.3333333333335,1054.9036060289989,1909.0,2511.6666666666665,75.17218975574141,119.70250773509152,2046.4063946759259,2047.9388020833333,1206.1653645833333,134.51171875,2.4158611259893408,2.197254740342233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.36033662160237,2.708268102760648,23.675075368749063,0.02600909421281013,1.1101252158391048,0.07675487059673083,2038.2799479166667,15.34970882441964,100000.0,0.0,10.033840653137672,58516.333333333336,27922.495399468386,239.0,16.822603841260722,94670.33333333333,9231.253454072927,94670.33333333333,9231.253454072927,6.6583281184793925,336.6917482406323,1000000.0,0.0,2190.2593697680213,19.23832495828188,50049.333333333336,85.00784277543652,3263.6666666666665,119.06860767361535,5084.333333333333,313.4411162137688,19.292120615641277,0.09698084491571371,19183.0,96.00520819205592,10.0,0.0,673.5993979704305,120.97273760653081,19.624063809712727,0.7798171102340895,100.46685187021892,11.652669269154284,26.235566936247718,55913.666666666664,29624.713286938884,228.0,12.12435565298214,50049.333333333336,85.00784277543652,50049.333333333336,85.00784277543652,70.08566187174092,214.04983843332684,3
